book_id	title	author_id	published
1	Charlotte's Web	4	1952
2	Stuart Little	4	1945
3	The Trumpet of the Swan	4	1970
4	Five Children and It	1	1902
5	The Phoenix and the Carpet	1	1904
6	The Story of the Amulet	1	1906
7	A Wrinkle in Time	6	1962
8	A Wind at the Door	6	1973
9	A Swiftly Tilting Planet	6	1978
10	Half Magic	5	1954
11	Knight's Castle	5	1956
12	Magic by the Lake	5	1957
13	The Time Garden	5	1958
14	The Midnight Folk	2	1927
15	The Box of Delights	2	1935
16	The Lion, the Witch, and the Wardrobe	3	1950
17	Prince Caspian	3	1951
18	The Voyage of the Dawn Treader	3	1951
19	The Silver Chair	3	1953
20	The Horse and His Boy	3	1954
21	The Magician's Nephew	3	1955
22	The Last Battle	3	1956
23	The Phantom Tollbooth	8	1961
24	Charlotte Sometimes	8	1969
25	The Penderwicks	10	2005
26	The Penderwicks on Gardam Street	10	2008
27	The Penderwicks at Point Mouette	10	2011
28	The Penderwicks in Spring	10	2015
29	Harry Potter and the Philosopher's Stone	11	1997
30	Harry Potter and the Chamber of Secrets	11	1998
31	Harry Potter and the Prisoner of Azkaban	11	1999
32	Harry Potter and the Goblet of Fire	11	2000
33	Harry Potter and the Order of the Phoenix	11	2003
34	Harry Potter and the Half-Blood Prince	11	2005
35	Harry Potter and the Deathly Hallows	11	2007
36	The Sword and the Circle	7	1979
37	The Light Beyond the Forest	7	1979
38	The Road to Camlann	7	1981
39	Matilda	9	1988
40	The Witches	9	1983
41	The BFG	9	1982
42	The Minpins	9	1991
