id	title	author_last_name	author_first_name	published
1	Charlotte's Web	White	E. B.	1952
2	Stuart Little	White	E. B.	1945
3	The Trumpet of the Swan	White	E. B.	1970
4	Five Children and It	Nesbit	E.	1902
5	The Phoenix and the Carpet	Nesbit	E.	1904
6	The Story of the Amulet	Nesbit	E.	1906
7	A Wrinkle in Time	L'Engle	Madeleine	1962
8	A Wind at the Door	L'Engle	Madeleine	1973
9	A Swiftly Tilting Planet	L'Engle	Madeleine	1978
10	Half Magic	Eager	Edward	1954
11	Knight's Castle	Eager	Edward	1956
12	Magic by the Lake	Eager	Edward	1957
13	The Time Garden	Eager	Edward	1958
14	The Midnight Folk	Masefield	John	1927
15	The Box of Delights	Masefield	John	1935
16	The Lion, the Witch, and the Wardrobe	Lewis	C. S.	1950
17	Prince Caspian	Lewis	C. S.	1951
18	The Voyage of the Dawn Treader	Lewis	C. S.	1951
19	The Silver Chair	Lewis	C. S.	1953
20	The Horse and His Boy	Lewis	C. S.	1954
21	The Magician's Nephew	Lewis	C. S.	1955
22	The Last Battle	Lewis	C. S.	1956
23	The Phantom Tollbooth	Juster	Norton	1961
24	Charlotte Sometimes	Farmer	Penelope	1969
25	The Penderwicks	Birdsall	Jeanne	2005
26	The Penderwicks on Gardam Street	Birdsall	Jeanne	2008
27	The Penderwicks at Point Mouette	Birdsall	Jeanne	2011
28	The Penderwicks in Spring	Birdsall	Jeanne	2015
29	Harry Potter and the Philosopher's Stone	Rowling	J. K.	1997
30	Harry Potter and the Chamber of Secrets	Rowling	J. K.	1998
31	Harry Potter and the Prisoner of Azkaban	Rowling	J. K.	1999
32	Harry Potter and the Goblet of Fire	Rowling	J. K.	2000
33	Harry Potter and the Order of the Phoenix	Rowling	J. K.	2003
34	Harry Potter and the Half-Blood Prince	Rowling	J. K.	2005
35	Harry Potter and the Deathly Hallows	Rowling	J. K.	2007
36	The Sword and the Circle	Sutcliff	Rosemary	1979
37	The Light Beyond the Forest	Sutcliff	Rosemary	1979
38	The Road to Camlann	Sutcliff	Rosemary	1981
39	Matilda	Dahl	Roald	1988
40	The Witches	Dahl	Roald	1983
41	The BFG	Dahl	Roald	1982
42	The Minpins	Dahl	Roald	1991
